Model,Dimension,female,woman,girl,sister,she,daughter,mother,aunt,grandmother,male,man,boy,brother,he,son,father,uncle,grandfather,Female Terms_mean,Female Terms_std,Male Terms_mean,Male Terms_std,diff,diff_pvalue,diff_abs
leftist_populations_terms-L0,Warmth,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,4.1231056256176615,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.2425356250363331,-0.24253562503633314,2.7755575615628914e-17,0.24253562503633297,1.371988681140071,-0.4850712500726661,0.3321949846529795,0.4850712500726661
leftist_populations_terms-L0,Competence,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,-4.12310562561766,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633336,0.24253562503633339,2.7755575615628914e-17,-0.24253562503633253,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
leftist_populations_terms-L0,Sociability,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,4.12310562561766,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,-0.2425356250363339,0.0,0.242535625036332,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
leftist_populations_terms-L0,Morality,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,4.123105625617662,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633147,-0.24253562503633144,2.7755575615628914e-17,0.24253562503633455,1.3719886811400708,-0.485071250072666,0.3321949846529795,0.485071250072666
leftist_populations_terms-L0,Ability,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,-4.123105625617661,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.24253562503633327,0.0,-0.24253562503633275,1.3719886811400708,0.48507125007266605,0.3321949846529795,0.48507125007266605
leftist_populations_terms-L0,Agency,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,4.123105625617662,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633114,-0.24253562503633116,2.7755575615628914e-17,0.24253562503633475,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
leftist_populations_terms-L0,Status,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,4.123105625617661,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,-0.24253562503633283,0.0,0.24253562503633314,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
leftist_populations_terms-L0,Politics,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,-4.123105625617661,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633255,0.24253562503633253,2.7755575615628914e-17,-0.24253562503633333,1.3719886811400706,0.4850712500726658,0.3321949846529795,0.4850712500726658
leftist_populations_terms-L0,Religion,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,-4.12310562561766,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.24253562503633347,0.0,-0.24253562503633244,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
leftist_populations_terms-L1,Warmth,-0.2392916333568714,-0.23889640001823706,-0.226477233813344,-0.22595651220577695,-0.24194354945265933,-0.27336668307039963,-0.21389772467285045,-0.1852140804523141,-0.23475919124354555,-0.2558177798487991,-0.25377391038229125,-0.2720520484010517,-0.2389455466076457,4.121878530123543,-0.2828083221974116,-0.20884954564963865,-0.2580667632788569,-0.27176160547184414,-0.23108922314288868,0.022347238783369038,0.23108922314288932,1.3757529366907386,-0.462178446285778,0.3562067124568402,0.462178446285778
